name,feasibility,p,n
c101C5,1.0,0.01,0.1
c103C5,0.077,0.01,0.1
c206C5,1.0,0.01,0.1
c208C5,1.0,0.01,0.1
r104C5,1.0,0.01,0.1
r105C5,1.0,0.01,0.1
r202C5,0.711,0.01,0.1
r203C5,0.039,0.01,0.1
rc105C5,1.0,0.01,0.1
rc108C5,0.494,0.01,0.1
rc204C5,1.0,0.01,0.1
rc208C5,1.0,0.01,0.1
c101C10,1.0,0.01,0.1
c104C10,0.358,0.01,0.1
c202C10,0.082,0.01,0.1
c205C10,1.0,0.01,0.1
r102C10,0.306,0.01,0.1
r103C10,0.034,0.01,0.1
r201C10,0.123,0.01,0.1
r203C10,0.176,0.01,0.1
rc102C10,0.242,0.01,0.1
rc108C10,0.287,0.01,0.1
rc201C10,1.0,0.01,0.1
rc205C10,0.084,0.01,0.1
c103C15,0.083,0.01,0.1
c106C15,0.413,0.01,0.1
c202C15,0.001,0.01,0.1
c208C15,1.0,0.01,0.1
r102C15,0.171,0.01,0.1
r105C15,1.0,0.01,0.1
r202C15,0.014,0.01,0.1
r209C15,0.474,0.01,0.1
rc103C15,0.111,0.01,0.1
rc108C15,0.803,0.01,0.1
rc202C15,0.075,0.01,0.1
rc204C15,0.137,0.01,0.1
c101_21,0.533,0.01,0.1
c102_21,0.001,0.01,0.1
c103_21,0.006,0.01,0.1
c104_21,0.004,0.01,0.1
c105_21,1.0,0.01,0.1
c106_21,0.052,0.01,0.1
c107_21,1.0,0.01,0.1
c108_21,0.103,0.01,0.1
c109_21,1.0,0.01,0.1
c201_21,1.0,0.01,0.1
c202_21,0.002,0.01,0.1
c203_21,0.0,0.01,0.1
c204_21,0.0,0.01,0.1
c205_21,1.0,0.01,0.1
c206_21,0.016,0.01,0.1
c207_21,0.001,0.01,0.1
c208_21,1.0,0.01,0.1
r101_21,1.0,0.01,0.1
r102_21,0.006,0.01,0.1
r103_21,0.004,0.01,0.1
r104_21,0.003,0.01,0.1
r105_21,1.0,0.01,0.1
r106_21,0.0,0.01,0.1
r107_21,0.016,0.01,0.1
r108_21,0.005,0.01,0.1
r109_21,0.011,0.01,0.1
r110_21,0.0,0.01,0.1
r111_21,0.003,0.01,0.1
r112_21,0.001,0.01,0.1
r201_21,0.006,0.01,0.1
r202_21,0.0,0.01,0.1
r203_21,0.001,0.01,0.1
r204_21,0.001,0.01,0.1
r205_21,1.0,0.01,0.1
r206_21,0.0,0.01,0.1
r207_21,0.0,0.01,0.1
r208_21,0.0,0.01,0.1
r209_21,0.0,0.01,0.1
r210_21,0.0,0.01,0.1
r211_21,0.0,0.01,0.1
rc101_21,1.0,0.01,0.1
rc102_21,0.005,0.01,0.1
rc103_21,0.0,0.01,0.1
rc104_21,0.003,0.01,0.1
rc105_21,0.029,0.01,0.1
rc106_21,1.0,0.01,0.1
rc107_21,0.003,0.01,0.1
rc108_21,0.0,0.01,0.1
rc201_21,1.0,0.01,0.1
rc202_21,0.001,0.01,0.1
rc203_21,0.001,0.01,0.1
rc204_21,0.002,0.01,0.1
rc205_21,0.002,0.01,0.1
rc206_21,1.0,0.01,0.1
rc207_21,0.001,0.01,0.1
rc208_21,0.002,0.01,0.1
